,Stock #,Original Price,Sales Price,Vin #,Vehicle Name,Year,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Trans,Location
0, U11606,"            $37,300          ","             $36,500          ", WDDWJ4JB2HF417911,Mercedes-Benz C 300 RWD,2017, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 30 MPG                                          |                              CITY, Black," 30,004", 7-Speed Automatic w/OD,"Rocklin, CA        "
1, U11510,"            $41,000          ","             $36,895          ", WDDPK5HA2GF124786,Mercedes-Benz SLK 350 Sport RWD,2016, RWD, Premium Unleaded V-6 3.5 L/213, designo Cardinal Red Metallic, 29 MPG                                          |                              CITY, Sahara Beige Leather," 21,939", 7-Speed Automatic w/OD,"Rocklin, CA        "
2, U11604,"            $37,995          ","             $37,000          ", 4JGDA5JB6GA657624,Mercedes-Benz GLE 350 RWD,2016, RWD, Premium Unleaded V-6 3.5 L/213, Dakota Brown Metallic, 24 MPG                                          |                              CITY, Espresso Brown/Ginger Beige MB-Tex," 21,957", 7-Speed Automatic w/OD,"Rocklin, CA        "
3, U11624,"            $40,125          ","             $38,000          ", WDCTG4GB3KJ576857,Mercedes-Benz GLA 250 AWD 4MATIC®,2019, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, Sahara Beige," 8,572", 7-Speed Auto-Shift Manual w/OD,"Rocklin, CA        "
4, U11558,"            $40,147          ","             $38,500          ", WDDKJ6FB6HF353939,Mercedes-Benz E 400 Sport RWD,2017, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White, 29 MPG                                          |                              CITY, Natural Beige/Black Nappa Leather," 35,203", 7-Speed Automatic w/OD,"Rocklin, CA        "
5, U11530,"            $40,069          ","             $38,995          ", WDDZF4JB2HA046311,Mercedes-Benz E 300 RWD,2017, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond White Metallic, 30 MPG                                          |                              CITY, Macchiato Beige/ Black MB-Tex," 33,409", 9-Speed Automatic w/OD,"Rocklin, CA        "
6, U11577,"            $46,695          ","             $39,995          ", WDC0G4JBXKF510322,Mercedes-Benz GLC 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 27 MPG                                          |                              CITY, Silk Beige MB-Tex," 8,423", 9-Speed Automatic w/OD,"Rocklin, CA        "
7, U11593,"            $41,995          ","             $39,995          ", WDDLJ6FB9GA162693,Mercedes-Benz CLS 400 RWD,2016, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White Metallic, 30 MPG                                          |                              CITY, Saddle Brown / Black Leather," 38,575", 7-Speed Automatic w/OD,"Rocklin, CA        "
8, U11553,"            $45,200          ","             $39,995          ", WDD3G4EB4KW002222,Mercedes-Benz A 220 FWD,2019, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey Metallic, 35 MPG                                          |                              CITY, Titanium Grey/Black Leather, 345, 7-Speed Auto-Shift Manual w/OD,"Rocklin, CA        "
9, U11511,"            $45,000          ","             $41,000          ", WDDKK6FF8HF351013,Mercedes-Benz E 400 Sport RWD,2017, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White, 29 MPG                                          |                              CITY, Natural Beige/Black Nappa Leather," 47,270", 7-Speed Automatic w/OD,"Rocklin, CA        "
