,Drivetrain,Engine,Exterior,HWY,Interior,Location,Mileage,Original Price,Sales Price,Stock #,Trans,Unnamed: 0,Vehicle Name,Vin #,Year
3, FWD, Gas I4 2.0L/122, Silver Moon Metallic, 35 MPG                                          |                              CITY, Beige,"Sacramento, CA        "," 28,929","            $17,902          ","             $15,499          ", B11896, 5-Speed Automatic w/Manual Shift,,Acura ILX Tech Pkg FWD, 19VDE1F71DE019207,2013
4, AWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Majestic White, 27 MPG                                          |                              CITY, Graphite,"Sacramento, CA        "," 1,740","            $38,873          ","             $35,778          ", B11895, 7-Speed Automatic w/OD,,INFINITI Q50 3.0t LUXE AWD, JN1EV7AR4KM551107,2019
5, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 9,543","            $42,945          ","             $36,991          ", B11914, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 RWD, 55SWF8DB1KU294157,2019
6, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 38 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 21,717","            $30,969          ","             $28,775          ", B11911, 7-Speed Auto-Shift Manual w/OD,,Mercedes-Benz CLA 250 Sport FWD, WDDSJ4EB2GN310175,2016
7, AWD 4MATIC, Twin Turbo Diesel I-4 2.1 L/131, Iridium Silver Metallic, 29 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 20,981","            $34,811          ","             $32,642          ", B11916, 7-Speed Automatic w/OD,,Mercedes-Benz M-Class ML 250 AWD 4MATIC®, 4JGDA0EB5FA520962,2015
8, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 9,037","            $42,945          ","             $39,865          ", B11917, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 RWD, 55SWF8DBXKU294769,2019
9, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 9,762","            $39,570          ","             $32,909          ", B11913, 7-Speed Auto-Shift Manual w/OD,,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB3KJ549125,2019
10, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 32 MPG                                          |                              CITY, Bengal Red Premium Leather,"Sacramento, CA        "," 36,167","            $38,330          ","             $35,737          ", B11918, 9-Speed Automatic w/OD,,Mercedes-Benz SLK 300 Sport RWD, WDDPK3JA1GF118637,2016
11, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 29 MPG                                          |                              CITY, Cranberry Red Leather,"Sacramento, CA        "," 30,322","            $43,897          ","             $40,443          ", B11920, 7-Speed Automatic w/OD,,Mercedes-Benz C 450 AWD 4MATIC®, 55SWF6EB0GU143966,2016
12, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 28 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 29,114","            $38,968          ","             $36,890          ", B11937, 9-Speed Automatic w/OD,,Mercedes-Benz GLC 300 Sport AWD 4MATIC®, WDC0G4KB5HF124270,2017
13, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Lunar Blue Metallic, 26 MPG                                          |                              CITY, Silk Beige/Espresso Brown Nappa Leather,"Sacramento, CA        "," 29,133","            $64,916          ","             $62,455          ", B11942, 7-Speed Automatic w/OD,,Mercedes-Benz S 550 Sport RWD, WDDUG8CB2GA218475,2016
14, RWD, Gas V6 3.5L/213, Steel Grey Metallic, 28 MPG                                          |                              CITY, Black Leather,"Sacramento, CA        "," 55,463","            $23,916          ","             $21,871          ", B11948, 7-Speed Automatic w/Manual Shift,,Mercedes-Benz E 350 RWD, WDDKJ5KB3DF192721,2013
15, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, White, 28 MPG                                          |                              CITY, Beige,"Sacramento, CA        "," 18,787","            $36,821          ","             $33,611          ", B11943, 8-Speed Automatic w/OD,,BMW X3 xDrive28i AWD, 5UXWX9C54H0D97551,2017
16, RWD, Gas/Ethanol V8 5.3L/325, Summit White, 23 MPG                                          |                              CITY, Jet Black,"Sacramento, CA        "," 56,674","            $33,916          ","             $31,872          ", B11958, 6-Speed Automatic,,Jeep Wrangler Unlimited Sport 4WD, 1C4BJWDG8GL159163,2016
